Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common names (Eng),Red List status,Population trend
178017,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nigricauda,"Black-barred Surgeonfish, Blackstreak Surgeonfish, Epaulette Surgeonfish, Shoulderbar Surgeonfish, White-tail Surgeonfish",LC,stable
178019,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nigrofuscus,"Blackspot Surgeonfish, Brown Surgeonfish, Dusky Surgeonfish, Lavender Tang, Spot-cheeked Surgeonfish",LC,stable
177999,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nigroris,Bluelined Surgeonfish,LC,stable
177961,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,nubilus,"Bluelined Surgeonfish, Dropoff Surgeonfish, Pin-striped Surgeon",LC,unknown
177991,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,olivaceus,"Gendarme Fish, Olive Surgeonfish, Orange band Surgeonfish, Orangeband Surgeonfish, Orangebar Surgeonfish, Orange-blotch Surgeon, Orange-ear Surgeonfish, Orange-epaulette Surgeonfish, Orange Epoulette Surgeon, Orangespot Surgeonfish, Orange Spot Tang",LC,stable
177984,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,polyzona,"Black-barred Surgeonfish, Multibar Surgeonfish",DD,unknown
178022,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,pyroferus,"Chocolate Surgeonfish, Mimic Surgeonfish, Orange-gilled Surgeonfish, Pacific Mimic Surgeon, Yellowspot Surgeon",LC,stable
177976,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,reversus,Marquesan Surgeonfish,LC,stable
177987,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,sohal,"Red Sea Clown Surgeon, Red Sea Surgeonfish, Sohal Surgeonfish",LC,stable
177997,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,tennentii,"Doubleband Surgeonfish, Lieutenant Surgeonfish",LC,stable
178008,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,thompsoni,"Chocolate Surgeonfish, Night Surgeonfish, Thompson's Surgeonfish, Thompson's Tang, Whitetail Surgeonfish",LC,stable
177965,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,triostegus,"Convict Surgeonfish, Convict Tang, Fiveband Surgeonfish",LC,stable
177998,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,tristis,"Blackcheek Surgeonfish, Indian Ocean Mimic Surgeonfish, Yellowspot Surgeonfish",LC,stable
177989,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,xanthopterus,"Cuvier's Surgeonfish, Purple Surgeonfish, Ring-tailed Surgeonfish, Yellowfin Surgeonfish, Yellow-mask Surgeon",LC,stable
187520,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Achoerodus,gouldii,"Gould's Wrasse, Western Blue Groper, Western Blue Wrasse",VU,decreasing
187572,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Achoerodus,viridis,"Brown Groper, Eastern Blue Groper, Eastern Blue Wrasse, Giant Pig Fish, Red Groper",NT,stable
194298,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,argentea,,DD,unknown
178043,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,esuncula,Eastern Pacific Bonefish,LC,unknown
194299,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,glossodonta,Shortjaw Bonefish,VU,decreasing
199659,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,koreana,,DD,unknown
190357,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,nemoptera,"Caribbean Bonefish, Shafted Bonefish, Threadfin Bonefish",DD,unknown
194301,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,oligolepis,Smallscale Bonefish,DD,unknown
194302,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,virgata,Longjaw Bonefish,DD,unknown
194303,ANIMALIA,CHORDATA,ACTINOPTERYGII,ALBULIFORMES,ALBULIDAE,Albula,vulpes,,NT,decreasing
170349,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Allothunnus,fallai,Slender Tuna,LC,stable
187796,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Ammolabrus,dicrus,Sand Wrasse,LC,unknown
165682,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,Amphichaetodon,howensis,"Broad-barred Butterflyfish, Lord Howe Butterflyfish, Lord Howe Coral Fish, Lord Howe Island Butterflyfish",LC,stable
165727,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,Amphichaetodon,melbae,"Narrow-barred Butterflyfish, Narrow-barred Butterflyfish",DD,unknown
187716,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,caeruleopunctatus,"Bluespotted Tamarin, Bluespotted Wrasse, Blue Spotted Wrasse, Diamond Wrasse, Spotted Chisel-tooth Wrasse, Spotted Rare Wrasse",LC,unknown
187555,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,chrysocephalus,"Psychedelic Wrasse, Red-tailed Tamarin, Red Tail Wrasse",LC,stable
187758,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,cuvier,"Cuvier's Tamarin, Cuvier's Wrasse, Pearl Wrasse, Spotted Wrasse Fish",LC,stable
187453,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,elegans,Elegant Wrasse,LC,stable
187808,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,femininus,"Blue-striped Orange Tamarin, Blue-tail Wrasse, Feminine Wrasse, South Seas Wrasse",LC,stable
187710,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,geographicus,"Geographic Wrasse, Lined Chisel-tooth Wrasse, Olive-green Wrasse",LC,stable
187567,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,lennardi,Blue and Yellow Wrasse,LC,stable
187639,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,lineatus,"Deep-sea Wrasse, Leaf Wrasse, Lined Tamarin, Lined Wrasse, White-dashed Wrasse, White-dashes Wrasse",DD,unknown
155146,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,melanurus,"Blacktail Wrasse, White-spotted Wrasse",LC,unknown
187723,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,meleagrides,"Dotted Wrasse, Marble Wrasse, Speckled Wrasse, Spotted Wrasse, Yellow Tail Tamarin, Yellowtail Wrasse",LC,stable
