id,chlass_id,name,created_at,updated_at,wikitext,image_name
16,1,PERISSODACTYLA,2014-09-09 21:53:49.636049,2014-09-10 04:55:44.379325,"<div class=""intro"">An <b>odd-toed ungulate</b> is a <em>rhinoceroses</em>.</div>",//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/ErmineSpot.jpg/250px-ErmineSpot.jpg
17,1,PERAMELEMORPHIA,2014-09-09 21:54:13.263923,2014-09-10 04:55:44.668163,"<div class=""intro"">†<em>Yaralidae</em><br>
<em>Thylacomyidae</em><br>
†<em>Chaeropodidae</em><br>
<em>Peramelidae</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/2/26/Taxidermied_Bandicoot.jpg/250px-Taxidermied_Bandicoot.jpg
19,1,HYRACOIDEA,2014-09-09 21:59:27.747326,2014-09-10 04:55:45.796346,"<div class=""intro""><b>Hyraxes</b> (from the Greek <span lang=""grc"" xml:lang=""grc"">ὕραξ</span>, <i>hurax</i>, ""shrewmouse"") (also called <b>dassies</b>)<sup id=""cite_ref-1"" class=""reference""><em>Middle East</em>.</div>",//upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Yellow-spotted_Rock_Hyrax.jpg/220px-Yellow-spotted_Rock_Hyrax.jpg
20,1,MICROBIOTHERIA,2014-09-09 22:00:41.636152,2014-09-10 04:55:46.03842,"<div class=""intro"">†<i><em>Khasia</em></i><br>
†<i><em>Mirandatherium</em></i><br>
†<i><em>Eomicrobiotherium</em></i><br>
†<i><em>Ideodelphys</em></i><br>
†<i><em>Pitheculus</em></i><br>
<i><em>Dromiciops</em></i></div>",//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Monito_del_Monte_ps6.jpg/220px-Monito_del_Monte_ps6.jpg
21,1,SIRENIA,2014-09-09 22:00:44.408828,2014-09-10 04:55:46.296694,"<div class=""intro""><em>Dugongidae</em><br>
<em>Trichechidae</em><br>
†<em>Prorastomidae</em><br>
†<em>Protosirenidae</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Manatee.jpg/250px-Manatee.jpg
22,1,MACROSCELIDEA,2014-09-09 22:00:57.191863,2014-09-10 04:55:46.555636,"<div class=""intro""><i><em>Elephantulus</em></i><br>
<i><em>Macroscelides</em></i><br>
<i><em>Petrodromus</em></i><br>
<i><em>Rhynchocyon</em></i></div>",//upload.wikimedia.org/wikipedia/commons/thumb/5/54/Macroscelides._proboscideus.6869.jpg/200px-Macroscelides._proboscideus.6869.jpg
23,1,PROBOSCIDEA,2014-09-09 22:01:04.788339,2014-09-10 04:55:46.835735,"<div class=""intro""><em>Elephantidae</em><br>
†<em>Gomphotheriidae</em><br>
†<em>Mammutidae</em><br>
†<em>Stegodontidae</em><br>
†<em>Barytheriidae</em><br>
†<em>Deinotheriidae</em><br>
†<em>Moeritheriidae</em><br>
†<em>Numidotheriidae</em><br>
†<em>Palaeomastodontidae</em><br>
†<em>Phiomiidae</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/AfricanElephant.jpg/250px-AfricanElephant.jpg
24,1,PHOLIDOTA,2014-09-09 22:11:23.88798,2014-09-10 04:55:47.092748,"<div class=""intro""><i><em>Manis culionensis</em></i><br>
<i><em>Manis gigantea</em></i><br>
<i><em>Manis temminckii</em></i><br>
<i><em>Manis tricuspis</em></i><br>
<i><em>Manis tetradactyla</em></i><br>
<i><em>Manis crassicaudata</em></i><br>
<i><em>Manis pentadactyla</em></i><br>
<i><em>Manis javanica</em></i></div>",//upload.wikimedia.org/wikipedia/commons/thumb/5/58/The_Children%27s_Museum_of_Indianapolis_-_ground_pangolin.jpg/250px-The_Children%27s_Museum_of_Indianapolis_-_ground_pangolin.jpg
26,1,MONOTREMATA,2014-09-09 22:21:50.952264,2014-09-10 04:55:48.334201,"<div class=""intro""><b>Monotremes</b> (from the Greek μονός <i>monos</i> ""single"" + τρῆμα <i>trema</i> ""hole"", referring to the <em><span>[</span>3<span>]</span></em></sup></div>",//upload.wikimedia.org/wikipedia/commons/thumb/6/61/Tachyglossus_aculeatus_side_on.jpg/220px-Tachyglossus_aculeatus_side_on.jpg
27,1,TUBULIDENTATA,2014-09-09 22:21:58.377546,2014-09-10 04:55:48.599602,"<div class=""intro""><i><em>Orycteropus</em></i><br>
†<i><em>Amphiorycteropus</em></i><br>
†<i><em>Leptorycteropus</em></i><br>
†<i><em><span>[</span>1<span>]</span></em></sup></div>",//upload.wikimedia.org/wikipedia/commons/thumb/3/35/Orycteropus_afer_stuffed.jpg/220px-Orycteropus_afer_stuffed.jpg
29,2,TESTUDINES,2014-09-09 22:41:45.352208,2014-09-10 04:55:49.382749,"<div class=""intro""><em>Cryptodira</em><br>
<em>Pleurodira</em><br>
<span title=""Extinct""><span style=""font-style:normal;""><span style=""font-weight:normal;"">†</span></span></span><em>citation needed</span></em></i>]</sup><br>
and see <em>text</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Florida_Box_Turtle_Digon3_re-edited.jpg/220px-Florida_Box_Turtle_Digon3_re-edited.jpg
30,2,CROCODYLIA,2014-09-09 22:42:55.896065,2014-09-10 04:55:50.506782,"<div class=""intro"">The <b>Crocodilia</b> (or <b>Crocodylia</b>) are an <em>Gavialidae</em>). Although the term 'crocodiles' is sometimes used to refer to all of these, a less ambiguous vernacular term for this group is <b>crocodilians</b>.</div>",//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Crocodilia_collage.jpg/300px-Crocodilia_collage.jpg
31,2,RHYNCHOCEPHALIA,2014-09-09 23:17:52.972158,2014-09-10 04:55:50.80042,"<div class=""intro""><b>Rhynchocephalia</b> is an <em>pleurosaurs</em>.</div>",//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Homoeosaurus.jpg/220px-Homoeosaurus.jpg
