id,phylum_id,name,created_at,updated_at
1,1,Mammalia,2014-09-09 21:47:35.695298,2014-09-09 21:47:35.695298
2,1,Reptilia,2014-09-09 22:41:22.049347,2014-09-09 22:41:22.049347
3,1,Amphibia,2014-09-09 23:24:02.920011,2014-09-09 23:24:02.920011
4,1,Osteichthyes,2014-09-10 00:24:16.346439,2014-09-10 00:24:16.346439
5,1,Aves,2014-09-10 00:45:37.905342,2014-09-10 00:45:37.905342
