Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common names (Eng),Red List status,Population trend
56068,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,leucostictus,,LC,unknown
56069,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,lindholmi,,DD,unknown
56070,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,morerei,,VU,decreasing
56071,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,nigeriensis,Nigeria Banana Frog,NT,stable
56072,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,orophilus,,VU,decreasing
56073,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,osorioi,"Angola Banana Frog, Congro Spiny Reed Frog, Osorio's Spiny Reed Frog",LC,increasing
56074,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,paradorsalis,,LC,unknown
56075,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,quadrivittatus,,LC,unknown
56076,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,schneideri,,DD,unknown
56077,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,septentrionalis,,LC,stable
56078,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,spinifrons,Natal Banana Frog,NT,unknown
56079,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,stuhlmanni,,LC,unknown
56080,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,sylvaticus,,EN,decreasing
56081,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,uluguruensis,Uluguru Banana Frog,EN,decreasing
56082,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,upembae,,DD,unknown
56083,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,vibekensis,Nimba Banana Frog,NT,decreasing
56084,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,vittiger,"Savanna Banana Frog, Spiny Reed Frog",LC,unknown
56085,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,weidholzi,Weidholz's Banana Frog,LC,unknown
56086,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,wittei,,LC,unknown
55288,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Agalychnis,annae,"Blue-sided Treefrog, Orange-eyed Tree Frog",EN,decreasing
55843,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Agalychnis,buckleyi,,LC,unknown
55290,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Agalychnis,callidryas,"Red-eyed Treefrog, Red-eyed Leaf frog",LC,decreasing
55855,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Agalychnis,lemur,Lemur Leaf Frog,CR,decreasing
55292,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Agalychnis,litodryas,Pink-sided Treefrog,VU,decreasing
55293,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Agalychnis,moreletii,"Black-eyed Leaf Frog, Morelet's Treefrog",CR,decreasing
55294,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Agalychnis,saltator,Misfit Leaf Frog,LC,stable
55295,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Agalychnis,spurrelli,"Gliding Treefrog, Gliding Leaf Frog",LC,decreasing
57383,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Aglyptodactylus,laticeps,,EN,decreasing
57384,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Aglyptodactylus,madagascariensis,Madagascar Jumping Frog,LC,decreasing
57385,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Aglyptodactylus,securifer,,LC,decreasing
57661,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Albericus,brunhildae,,LC,unknown
57662,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Albericus,darlingtoni,,LC,unknown
61843,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Albericus,exclamitans,,DD,unknown
57663,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Albericus,fafniri,,DD,unknown
57664,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Albericus,gudrunae,,DD,unknown
57665,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Albericus,gunnari,,DD,unknown
