Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
177953,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,coeruleus,"Bloch & Schneider, 1801",,,,,Acanthurus brevis  |Acanthurus broussonnetii  |Acanthurus caeruleus  |Acanthurus coerulus  |Acanthurus heliodes  |Acanthurus nigricans  |Acanthurus violaceus  |Acronurus caeruleatus  |Hepatus caeruleus  |Hepatus pawnee  |Teuthis coeruleus  |Teuthis helioides  ,"Blue Tang, Blue Doctorfish, Blue Barber, Blue Tang Surgeonfish, Yellow Barber, Yellow Doctorfish, Blue Doctor","Chirurgien Bayolle, Chirurgien Bleu","Barbero, Barbero azul, Cirujano, Cirujano azul, Doctor, MÈdico, Navajero, NavajÛn, NavajÛn Azul, Sangrador Azul",LC,,3.1,2012,stable,N
177981,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,dussumieri,"Valenciennes, 1835",,,,,Acanthurus dussumiere  |Acanthurus dussumierri  |Acanthurus lamarrii  |Acanthurus undulatus  |Hepatus dussumieri  |Rhombotides dussumieri  |Rhombotides lamarrii  |Teuthis dussumieri  ,"Eyestripe Surgeonfish, Pencilled Surgeonfish, Hawaiian Surgeonfish, Ornate Surgeonfish, Palani, Penciled Surgeonfish, Pencilled Surgeon, Dussumier's Surgeonfish","Chirurgien ‡ Lunettes Jaunes, Chirurgien CouronnÈ, Chirurgien de Duss, Chirurgien de Dussumier, Picot Kanak",NavajÛn Coronado,LC,,3.1,2012,unknown,N
177959,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,fowleri,"de Beaufort, 1951",,,,,,"Horseshoe Surgeonfish, Fowler's Surgeonfish",,,LC,,3.1,2012,unknown,N
154818,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,gahhm,"(ForsskÂl, 1775)",,,,,Acanthurus nigricans  |Acanthurus nigricauda  |Chaetodon nigrofuscus subspecies gahhm,Black Surgeonfish,,,LC,,3.1,2012,unknown,N
178006,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,grammoptilus,"Richardson, 1843",,,,,,"Finelined Surgeonfish, Ring-tailed Surgeonfish",,,LC,,3.1,2012,unknown,N
177995,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,guttatus,"Forster, 1801",,,,,Harpurus guttatus  |Hepatus guttatus  |Rhombotides guttatus  |Teuthis guttatus  |Zabrasoma guttatus  ,"Whitespotted Surgeonfish, Spotted Surgeonfish, Spotband Surgeonfish, Mustard Tang, Spotted Tang, Mustard Surgeonfish",Chirurgien mouchetÈ,,LC,,3.1,2012,unknown,N
177977,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,japonicus,"(Schmidt, 1931)",,,,,Acanthurus japonica  |Hepatus aliala japonicus  ,"Japanese Surgeonfish, Powder Black Surgeon, White-nose Surgeonfish",,,LC,,3.1,2012,unknown,N
177994,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,leucocheilus,"Herre, 1927",,,,,Acanthurus leuocheilus  |Acanthurus leuococheilus  ,"Palelipped Surgeonfish, White-spine Surgeon",,,LC,,3.1,2012,unknown,N
178011,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,leucopareius,"(Jenkins, 1903)",,,,,Hepatus leucopareius  |Hepatus umbra  |Teuthis bishopi  |Teuthis leucopareius  |Teuthis umbra  ,"Whitebar Surgeonfish, Head-band Surgeonfish",Chirurgien ‡ Joue Blanche,,LC,,3.1,2012,stable,N
178000,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,leucosternon,"Bennett, 1833",,,,,Acanthurus delisiani  |Acanthurus delisianus  |Acanthurus leucosternum  |Hepatus leucosternon  |Rhombotides leucosternon  ,"Powder Blue Surgeonfish, Powder-blue Tang, Blue Surgeonfish, Powderblue Surgeonfish, Powder Blue Tang","Chirurgien ‡ Poitrine Blanche, Chirurgien PoudrÈ",,LC,,3.1,2012,unknown,N
