id,family_id,name,created_at,updated_at,wikitext,image_name
29,16,Allenopithecus,2014-09-09 21:48:47.897589,2014-09-10 04:56:12.163976,,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Allens_swamp_monkey.jpg/220px-Allens_swamp_monkey.jpg
30,17,Allocebus,2014-09-09 21:48:48.337031,2014-09-10 04:56:12.186421,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/ChirogaleusTrichotisWolf.jpg/220px-ChirogaleusTrichotisWolf.jpg
31,17,Allocricetulus,2014-09-09 21:48:48.799755,2014-09-10 04:56:12.207898,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Status_iucn3.1_LC.svg/220px-Status_iucn3.1_LC.svg.png
32,18,Alouatta,2014-09-09 21:48:49.780297,2014-09-10 04:56:12.228514,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Alouatta_discolor.jpg/220px-Alouatta_discolor.jpg
33,18,Alticola,2014-09-09 21:48:59.271094,2014-09-10 04:56:12.251527,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Status_iucn3.1_blank.svg/220px-Status_iucn3.1_blank.svg.png
34,19,Amblysomus,2014-09-09 21:49:05.867236,2014-09-10 04:56:12.270899,,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Status_iucn3.1_VU.svg/220px-Status_iucn3.1_VU.svg.png
35,20,Ametrida,2014-09-09 21:49:08.451685,2014-09-10 04:56:12.294828,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Status_iucn3.1_LC.svg/220px-Status_iucn3.1_LC.svg.png
36,20,Ammodillus,2014-09-09 21:49:08.887993,2014-09-10 04:56:12.314913,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Status_iucn3.1_blank.svg/220px-Status_iucn3.1_blank.svg.png
37,20,Ammodorcas,2014-09-09 21:49:09.404892,2014-09-10 04:56:12.337095,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/AmmodorcasClarkeiSmit.jpg/220px-AmmodorcasClarkeiSmit.jpg
38,20,Ammospermophilus,2014-09-09 21:49:09.945267,2014-09-10 04:56:12.357556,,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/White_Tailed_Squirrel.jpg/250px-White_Tailed_Squirrel.jpg
39,20,Ammotragus,2014-09-09 21:49:12.018136,2014-09-10 04:56:12.377085,,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/BarbarySheep4.jpg/220px-BarbarySheep4.jpg
40,21,Amorphochilus,2014-09-09 21:49:12.614945,2014-09-10 04:56:12.397698,,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Status_iucn3.1_EN.svg/220px-Status_iucn3.1_EN.svg.png
41,21,Amphinectomys,2014-09-09 21:49:13.046988,2014-09-10 04:56:12.418615,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Status_iucn3.1_blank.svg/220px-Status_iucn3.1_blank.svg.png
42,22,Anathana,2014-09-09 21:49:13.465267,2014-09-10 04:56:12.439665,,http://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Anathana_ellioti.jpg/220px-Anathana_ellioti.jpg
43,22,Andalgalomys,2014-09-09 21:49:13.884774,2014-09-10 04:56:12.460074,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Status_iucn3.1_LC.svg/220px-Status_iucn3.1_LC.svg.png
44,22,Andinomys,2014-09-09 21:49:14.914307,2014-09-10 04:56:12.48092,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Status_iucn3.1_LC.svg/220px-Status_iucn3.1_LC.svg.png
45,22,Anisomys,2014-09-09 21:49:15.401696,2014-09-10 04:56:12.501471,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Status_iucn3.1_LC.svg/220px-Status_iucn3.1_LC.svg.png
46,23,Anomalurus,2014-09-09 21:49:15.970634,2014-09-10 04:56:12.523003,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Status_iucn3.1_blank.svg/220px-Status_iucn3.1_blank.svg.png
47,23,Anonymomys,2014-09-09 21:49:18.103198,2014-09-10 04:56:12.542224,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Status_iucn3.1_blank.svg/220px-Status_iucn3.1_blank.svg.png
48,23,Anotomys,2014-09-09 21:49:18.731523,2014-09-10 04:56:12.566835,,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Status_iucn3.1_VU.svg/220px-Status_iucn3.1_VU.svg.png
49,23,Anoura,2014-09-09 21:49:19.235826,2014-09-10 04:56:12.586456,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Status_iucn3.1_LC.svg/220px-Status_iucn3.1_LC.svg.png
50,24,Anourosorex,2014-09-09 21:49:22.30217,2014-09-10 04:56:12.6105,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Status_iucn3.1_LC.svg/220px-Status_iucn3.1_LC.svg.png
51,25,Antechinomys,2014-09-09 21:49:24.366582,2014-09-10 04:56:12.630907,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Antechinomys_laniger_2.jpg/220px-Antechinomys_laniger_2.jpg
52,25,Antechinus,2014-09-09 21:49:24.823764,2014-09-10 04:56:12.653872,,http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Agile_Antechinus_%28Antechinus_agilis%29_on_hand.jpg/220px-Agile_Antechinus_%28Antechinus_agilis%29_on_hand.jpg
53,26,Anthops,2014-09-09 21:49:29.615158,2014-09-10 04:56:12.673324,,http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Anthops_ornatus.jpg/220px-Anthops_ornatus.jpg
54,26,Antidorcas,2014-09-09 21:49:30.095077,2014-09-10 04:56:12.693768,,http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Antidorcas_marsupialis%2C_male_%28Etosha%2C_2012%29.jpg/220px-Antidorcas_marsupialis%2C_male_%28Etosha%2C_2012%29.jpg
55,27,Antilocapra,2014-09-09 21:49:30.831022,2014-09-10 04:56:12.71518,,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Antilocapra_americana.jpg/220px-Antilocapra_americana.jpg
56,27,Antilope,2014-09-09 21:49:31.432386,2014-09-10 04:56:12.739832,,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Antilope_cervicapra_from_velavadar.JPG/220px-Antilope_cervicapra_from_velavadar.JPG
57,28,Antrozous,2014-09-09 21:49:32.07655,2014-09-10 04:56:12.759712,,http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Antrozous_pallidus1.jpg/240px-Antrozous_pallidus1.jpg
58,29,Aonyx,2014-09-09 21:49:32.575545,2014-09-10 04:56:12.780422,,http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Aonyx_capensis%2C_male%2C_Shamvura.jpg/220px-Aonyx_capensis%2C_male%2C_Shamvura.jpg
59,30,Aotus,2014-09-09 21:49:34.189148,2014-09-10 04:56:12.801479,,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Aotus_azarae_infulatus.jpg/220px-Aotus_azarae_infulatus.jpg
60,31,Aplodontia,2014-09-09 21:49:42.232336,2014-09-10 04:56:12.822164,,http://upload.wikimedia.org/wikipedia/commons/3/3c/Aplodontia.jpg
61,31,Apodemus,2014-09-09 21:49:42.900812,2014-09-10 04:56:12.844196,,http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Status_iucn2.3_LC.svg/220px-Status_iucn2.3_LC.svg.png
62,31,Apomys,2014-09-09 21:49:53.581014,2014-09-10 04:56:12.867694,,/image/tree-frog-logo.png
63,31,Aproteles,2014-09-09 21:49:58.699516,2014-09-10 04:56:12.887632,,/image/tree-frog-logo.png
64,31,Arabitragus,2014-09-09 21:49:59.165599,2014-09-10 04:56:12.906972,,/image/tree-frog-logo.png
65,31,Arborimus,2014-09-09 21:49:59.700233,2014-09-10 04:56:12.926549,,/image/tree-frog-logo.png
66,31,Archboldomys,2014-09-09 21:50:01.437201,2014-09-10 04:56:12.947495,,/image/tree-frog-logo.png
67,32,Arctictis,2014-09-09 21:50:02.051666,2014-09-10 04:56:12.971717,,http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Binturongskull.png/220px-Binturongskull.png
68,33,Arctocebus,2014-09-09 21:50:02.869691,2014-09-10 04:56:12.991222,,/image/tree-frog-logo.png
69,34,Arctocephalus,2014-09-09 21:50:04.005867,2014-09-10 04:56:13.015631,,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Arctocephalus_pusillus_1.jpg/250px-Arctocephalus_pusillus_1.jpg
70,34,Arctogalidia,2014-09-09 21:50:09.294131,2014-09-10 04:56:13.036422,,/image/tree-frog-logo.png
71,34,Arctonyx,2014-09-09 21:50:09.957968,2014-09-10 04:56:13.059441,,/image/tree-frog-logo.png
72,34,Ardops,2014-09-09 21:50:10.538439,2014-09-10 04:56:13.080588,,/image/tree-frog-logo.png
73,34,Arielulus,2014-09-09 21:50:11.024813,2014-09-10 04:56:13.102352,,/image/tree-frog-logo.png
74,34,Ariteus,2014-09-09 21:50:14.030652,2014-09-10 04:56:13.122049,,/image/tree-frog-logo.png
75,34,Artibeus,2014-09-09 21:50:14.596527,2014-09-10 04:56:13.14304,,http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Artibeus_jamaicensis1.jpg/250px-Artibeus_jamaicensis1.jpg
76,34,Arvicanthis,2014-09-09 21:50:27.58458,2014-09-10 04:56:13.163645,,http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Muridae_-_Arvicanthis_niloticus.JPG/220px-Muridae_-_Arvicanthis_niloticus.JPG
77,34,Arvicola,2014-09-09 21:50:31.953002,2014-09-10 04:56:13.18479,,http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Arvicola_terrestris.jpg/220px-Arvicola_terrestris.jpg
78,34,Asellia,2014-09-09 21:50:33.666597,2014-09-10 04:56:13.205044,,/image/tree-frog-logo.png
79,34,Aselliscus,2014-09-09 21:50:34.771504,2014-09-10 04:56:13.226554,,/image/tree-frog-logo.png
80,35,Atelerix,2014-09-09 21:50:35.785148,2014-09-10 04:56:13.247944,,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Hedgehogball.jpg/170px-Hedgehogball.jpg
81,35,Ateles,2014-09-09 21:50:38.915764,2014-09-10 04:56:13.269471,,http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/03-04GeofSpiderMonkeysCostaRica2.jpg/220px-03-04GeofSpiderMonkeysCostaRica2.jpg
82,36,Atelocynus,2014-09-09 21:50:43.297852,2014-09-10 04:56:13.29205,,http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Sm.eared.dog.jpg/220px-Sm.eared.dog.jpg
83,37,Atherurus,2014-09-09 21:50:43.85336,2014-09-10 04:56:13.310997,,/image/tree-frog-logo.png
84,38,Atilax,2014-09-09 21:50:44.955495,2014-09-10 04:56:13.335702,,/image/tree-frog-logo.png
85,38,Atlantoxerus,2014-09-09 21:50:45.491182,2014-09-10 04:56:13.356282,,http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/The_barbary_squirrel_%281820%29.jpg/220px-The_barbary_squirrel_%281820%29.jpg
86,38,Auliscomys,2014-09-09 21:50:46.117868,2014-09-10 04:56:13.377051,,/image/tree-frog-logo.png
87,39,Avahi,2014-09-09 21:50:47.517761,2014-09-10 04:56:13.398099,,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Bobolink%2C_Mer_Bleue.jpg/800px-Bobolink%2C_Mer_Bleue.jpg
88,39,Axis,2014-09-09 21:50:52.219509,2014-09-10 04:56:13.418422,,http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Bawean_deer_close.jpg/200px-Bawean_deer_close.jpg
89,40,Babyrousa,2014-09-09 21:50:54.901119,2014-09-10 04:56:13.439048,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Babirusa_pair.jpg/220px-Babirusa_pair.jpg
90,40,Baiomys,2014-09-09 21:50:56.424015,2014-09-10 04:56:13.460206,,/image/tree-frog-logo.png
91,40,Baiyankamys,2014-09-09 21:50:57.370123,2014-09-10 04:56:13.481234,,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Bobolink%2C_Mer_Bleue.jpg/800px-Bobolink%2C_Mer_Bleue.jpg
92,41,Balaena,2014-09-09 21:50:58.573496,2014-09-10 04:56:13.503238,,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Gr%C3%B6nlandwal_6-1999.jpg/170px-Gr%C3%B6nlandwal_6-1999.jpg
93,42,Balaenoptera,2014-09-09 21:50:59.182064,2014-09-10 04:56:13.525332,,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Antarctic%2C_minky_whales_%28js%29_13.jpg/220px-Antarctic%2C_minky_whales_%28js%29_13.jpg
94,43,Balantiopteryx,2014-09-09 21:51:04.696469,2014-09-10 04:56:13.54528,,/image/tree-frog-logo.png
95,43,Balionycteris,2014-09-09 21:51:06.257939,2014-09-10 04:56:13.567176,,/image/tree-frog-logo.png
96,43,Bandicota,2014-09-09 21:51:06.759938,2014-09-10 04:56:13.588798,,/image/tree-frog-logo.png
97,43,Barbastella,2014-09-09 21:51:08.4243,2014-09-10 04:56:13.610018,,/image/tree-frog-logo.png
98,44,Bassaricyon,2014-09-09 21:51:09.635427,2014-09-10 04:56:13.630035,,/image/tree-frog-logo.png
99,44,Bassariscus,2014-09-09 21:51:12.101584,2014-09-10 04:56:13.683487,,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Cacomistle_085.jpg/220px-Cacomistle_085.jpg
100,45,Bathyergus,2014-09-09 21:51:13.254338,2014-09-10 04:56:13.703623,,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Die_vergleichende_Osteologie_%281821%29_Bathyergus_suillus.jpg/220px-Die_vergleichende_Osteologie_%281821%29_Bathyergus_suillus.jpg
101,45,Batomys,2014-09-09 21:51:14.305811,2014-09-10 04:56:13.72806,,/image/tree-frog-logo.png
102,45,Bauerus,2014-09-09 21:51:16.351915,2014-09-10 04:56:13.752108,,/image/tree-frog-logo.png
103,45,Bdeogale,2014-09-09 21:51:16.904241,2014-09-10 04:56:13.773075,,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Bdeogale_range.png/220px-Bdeogale_range.png
104,46,Beamys,2014-09-09 21:51:19.011605,2014-09-10 04:56:13.792866,,/image/tree-frog-logo.png
105,46,Beatragus,2014-09-09 21:51:20.692024,2014-09-10 04:56:13.813551,,/image/tree-frog-logo.png
106,46,Belomys,2014-09-09 21:51:21.181752,2014-09-10 04:56:13.834137,,/image/tree-frog-logo.png
107,47,Berardius,2014-09-09 21:51:21.720407,2014-09-10 04:56:13.854815,,http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Arnoux%27s_beaked_whale_in_Antarctica.jpg/220px-Arnoux%27s_beaked_whale_in_Antarctica.jpg
108,47,Berylmys,2014-09-09 21:51:22.741879,2014-09-10 04:56:13.875475,,/image/tree-frog-logo.png
109,47,Bettongia,2014-09-09 21:51:24.851478,2014-09-10 04:56:13.896471,,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Bettongia_penicillata_at_Duisburg_Zoo_%281%29.JPG/220px-Bettongia_penicillata_at_Duisburg_Zoo_%281%29.JPG
110,47,Bibimys,2014-09-09 21:51:27.659911,2014-09-10 04:56:13.917593,,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Bobolink%2C_Mer_Bleue.jpg/800px-Bobolink%2C_Mer_Bleue.jpg
