id,order_id,name,created_at,updated_at,wikitext,image_name
82,17,HYAENIDAE,2014-09-09 21:57:32.436149,2014-09-10 08:11:43.849876,"<div class=""intro""><b>Hyenas</b> or <b>hyaenas</b> (from <em><span>[</span>3<span>]</span></em></sup></div>",//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Hyaenidae.jpg/220px-Hyaenidae.jpg
85,17,CTENOMYIDAE,2014-09-09 21:58:06.6944,2014-09-10 08:11:45.218125,"<div class=""intro"">see text</div>",//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Tinytuco.jpg/200px-Tinytuco.jpg
90,18,PETAURIDAE,2014-09-09 21:58:58.320561,2014-09-10 08:11:47.752751,"<div class=""intro""><i><em>Dactylopsila</em></i><br>
<i><em>Gymnobelideus</em></i><br>
<i><em>Petaurus</em></i></div>",//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Sugies03_hp.jpg/240px-Sugies03_hp.jpg
93,18,MONODONTIDAE,2014-09-09 21:59:24.171001,2014-09-10 08:11:48.676164,"<div class=""intro"">see text</div>",//upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Belugawhale_MMC.jpg/220px-Belugawhale_MMC.jpg
98,21,DUGONGIDAE,2014-09-09 22:00:44.4128,2014-09-10 08:11:50.089633,"<div class=""intro"">See text</div>",//upload.wikimedia.org/wikipedia/commons/thumb/9/91/Dugong_Marsa_Alam.jpg/220px-Dugong_Marsa_Alam.jpg
99,21,TENRECIDAE,2014-09-09 22:00:49.274079,2014-09-10 08:11:50.984133,"<div class=""intro"">The <b>tenrec</b> is a <em>Madagascar dry deciduous forests</em>.</div>",//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Tanrek.jpg/220px-Tanrek.jpg
104,23,ESCHRICHTIIDAE,2014-09-09 22:02:13.897181,2014-09-10 08:11:53.084012,"<div class=""intro""><b>Eschrichtiidae</b> or the <b>gray whales</b> is a <em><span>[</span>3<span>]</span></em></sup></div>",//upload.wikimedia.org/wikipedia/commons/thumb/2/24/Graywhale_MMC.jpg/220px-Graywhale_MMC.jpg
107,23,GIRAFFIDAE,2014-09-09 22:04:26.397423,2014-09-10 08:11:54.647792,"<div class=""intro"">See text</div>",//upload.wikimedia.org/wikipedia/commons/thumb/6/67/Okapi.bristol.600pix.jpg/220px-Okapi.bristol.600pix.jpg
113,23,INIIDAE,2014-09-09 22:07:39.724866,2014-09-10 08:11:57.185553,"<div class=""intro"">see text</div>",//upload.wikimedia.org/wikipedia/commons/thumb/7/72/Inia.jpg/220px-Inia.jpg
115,23,DIATOMYIDAE,2014-09-09 22:08:32.849333,2014-09-10 08:11:58.139413,"<div class=""intro""><i><em>Laonastes</em></i><br>
<i>†<em>Diatomys</em></i><br>
<i>†<em>Fallomus</em></i><br>
<i>†<em>Marymus</em></i><br>
<i>†<em>Pierremus</em></i><br>
<i>†<em>Willmus</em></i></div>",none
