Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common names (Eng),Red List status,Population trend
44939,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,seurati,"Seurat's Spiny Mouse, Seurat's Spiny Mouse",LC,stable
274,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,spinosissimus,Spiny Mouse,LC,stable
275,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,subspinosus,Cape Spiny Mouse,LC,stable
276,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Acomys,wilsoni,Wilson's Spiny Mouse,LC,stable
278,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,OCTODONTIDAE,Aconaemys,fuscus,Chilean Rock Rat,LC,unknown
136331,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,OCTODONTIDAE,Aconaemys,porteri,,DD,unknown
279,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,OCTODONTIDAE,Aconaemys,sagei,Sage's Rock Rat,DD,unknown
40584,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,ACROBATIDAE,Acrobates,pygmaeus,"Feathertail Glider, Pygmy Gliding Possum",LC,stable
512,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Addax,nasomaculatus,Addax,CR,decreasing
15595,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Aegialomys,galapagoensis,Galapagos Rice Rat,VU,unknown
15616,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Aegialomys,xanthaeolus,Yellowish Rice Rat,LC,stable
548,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Aepeomys,lugens,Olive Montane Mouse,LC,unknown
136484,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Aepeomys,reigi,Reig's Aepeomys,VU,decreasing
550,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Aepyceros,melampus,"Impala, Black-faced Impala",LC,stable
40558,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,POTOROIDAE,Aepyprymnus,rufescens,"Rufous Bettong, Rufous Rat-kangaroo",LC,unknown
555,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Aeretes,melanopterus,"Northern Chinese Flying Squirrel, North Chinese Flying Squirrel, Groove-toothed Flying Squirrel",NT,decreasing
556,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Aeromys,tephromelas,"Black Flying Squirrel, Large Black Flying Squirrel",DD,unknown
557,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Aeromys,thomasi,"Thomas's Flying Squirrel, Thomas's Flying Squirrel",DD,unknown
136541,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Aethalops,aequalis,Borneo Fruit Bat,LC,unknown
565,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Aethalops,alecto,Pygmy Fruit Bat,LC,unknown
568,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,bocagei,Bocage's Rock Rat,LC,unknown
569,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,chrysophilus,Red Rock Rat,LC,unknown
570,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,granti,"Grant's Rock Mouse, Grant's Rock Rat",LC,unknown
571,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,hindei,Hinde's Rock Rat,LC,unknown
44990,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,ineptus,Tete Veld Aethomys,LC,unknown
572,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,kaiseri,Kaiser's Rock Rat,LC,unknown
573,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,namaquensis,Namaqua Rock Rat,LC,stable
574,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,nyikae,Nyika Rock Rat,LC,unknown
567,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,silindensis,"Selinda Veld Rat, Silinda Rock Rat",DD,unknown
575,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,stannarius,Tinfields Rock Rat,DD,unknown
576,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Aethomys,thomasi,Thomas's Rock Rat,LC,unknown
712,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,URSIDAE,Ailuropoda,melanoleuca,Giant Panda,EN,decreasing
136218,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,PHALANGERIDAE,Ailurops,melanotis,Talaud Bear Cuscus,CR,decreasing
40637,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,PHALANGERIDAE,Ailurops,ursinus,"Bear Cuscus, Sulawesi Bear Cuscus, Bear Phalanger",VU,decreasing
714,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,AILURIDAE,Ailurus,fulgens,"Red Panda, Lesser Panda, Red Cat-bear",VU,decreasing
723,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,aerosus,Highland Grass Mouse,LC,stable
724,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,affinis,Colombian Grass Mouse,LC,stable
725,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,albiventer,White-bellied Grass Mouse,LC,stable
136432,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,aliquantulus,Diminutive Akodont,DD,unknown
726,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,azarae,Azara's Grass Mouse,LC,stable
727,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,bogotensis,Bogota Grass Mouse,LC,stable
728,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,boliviensis,Bolivian Grass Mouse,LC,stable
729,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,budini,Budin's Grass Mouse,LC,stable
730,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,cursor,"Cursor Grass Mouse, Cusorial Akodont",LC,unknown
731,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,dayi,Day's Grass Mouse,LC,stable
732,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,dolores,"Córdoba Akodont, Dolorous Grass Mouse",LC,stable
733,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,fumeus,Smoky Grass Mouse,LC,stable
736,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,iniscatus,"Intelligent Grass Mouse, Patagonian Akodont",LC,stable
737,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,juninensis,Junin Grass Mouse,LC,stable
739,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,kofordi,Koford's Grass Mouse,LC,unknown
741,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,latebricola,Ecuadorean Grass Mouse,VU,decreasing
136729,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,leucolimnaeus,,DD,decreasing
742,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,lindberghi,Lindbergh's Grass Mouse,DD,unknown
753,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,lutescens,Altiplano Grass Mouse,LC,stable
746,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,mimus,Thespian Grass Mouse,LC,stable
747,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,molinae,Molina's Grass Mouse,LC,decreasing
748,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Akodon,mollis,Soft Grass Mouse,LC,stable
